2025-01-01 11:07:30,222 - 26/100
2025-01-01 11:07:30,229 - 27/100
2025-01-01 11:07:30,238 - 28/100
2025-01-01 11:07:30,245 - 29/100
2025-01-01 11:07:30,251 - 30/100
2025-01-01 11:07:30,266 - 31/100
2025-01-01 11:07:30,275 - 32/100
2025-01-01 11:07:30,284 - 33/100
2025-01-01 11:07:30,290 - 34/100
2025-01-01 11:07:30,304 - 35/100
2025-01-01 11:07:30,312 - 36/100
2025-01-01 11:07:30,336 - 37/100
2025-01-01 11:07:30,365 - 38/100
2025-01-01 11:07:30,397 - 39/100
2025-01-01 11:07:30,421 - 40/100
2025-01-01 11:07:30,428 - 41/100
2025-01-01 11:07:30,477 - 42/100
2025-01-01 11:07:30,502 - 43/100
2025-01-01 11:07:30,509 - 44/100
2025-01-01 11:07:30,527 - 45/100
2025-01-01 11:07:30,545 - 46/100
2025-01-01 11:07:30,553 - 47/100
2025-01-01 11:07:30,573 - 48/100
2025-01-01 11:07:30,592 - 49/100
2025-01-01 11:07:30,614 - 50/100
2025-01-01 11:07:30,626 - 51/100
2025-01-01 11:07:30,642 - 52/100
2025-01-01 11:07:30,668 - 53/100
2025-01-01 11:07:30,709 - 54/100
2025-01-01 11:07:30,720 - 55/100
2025-01-01 11:07:30,730 - 56/100
2025-01-01 11:07:30,743 - 57/100
2025-01-01 11:07:30,765 - 58/100
2025-01-01 11:07:30,773 - 59/100
2025-01-01 11:07:30,795 - 60/100
2025-01-01 11:07:30,820 - 61/100
2025-01-01 11:07:30,860 - 62/100
2025-01-01 11:07:30,877 - 63/100
2025-01-01 11:07:30,886 - 64/100
2025-01-01 11:07:30,899 - 65/100
2025-01-01 11:07:30,915 - 66/100
2025-01-01 11:07:30,932 - 67/100
2025-01-01 11:07:30,966 - 68/100
2025-01-01 11:07:30,999 - 69/100
2025-01-01 11:07:31,032 - 70/100
2025-01-01 11:07:31,066 - 71/100
2025-01-01 11:07:31,099 - 72/100
2025-01-01 11:07:31,132 - 73/100
2025-01-01 11:07:31,143 - 74/100
2025-01-01 11:07:31,159 - 75/100
2025-01-01 11:07:31,179 - 76/100
2025-01-01 11:07:31,198 - 77/100
2025-01-01 11:07:31,214 - 78/100
2025-01-01 11:07:31,234 - 79/100
2025-01-01 11:07:31,250 - 80/100
2025-01-01 11:07:31,267 - 81/100
2025-01-01 11:07:31,287 - 82/100
2025-01-01 11:07:31,308 - 83/100
2025-01-01 11:07:31,324 - 84/100
2025-01-01 11:07:31,342 - 85/100
